"borough","month","crashes","persons_injured","persons_killed","pedestrians_injured","cyclists_injured","motorists_injured"
"BRONX","1","846","403","0","107","21","261"
"BRONX","2","732","356","2","72","19","252"
"BRONX","3","926","444","2","90","29","316"
"BRONX","4","883","502","3","80","34","365"
"BRONX","5","1003","542","2","108","41","362"
"BRONX","6","876","459","2","71","29","331"
"BRONX","7","944","587","0","79","56","417"
"BRONX","8","882","512","4","89","39","362"
"BRONX","9","871","536","2","97","47","361"
"BRONX","10","889","520","3","115","41","341"
"BRONX","11","858","505","3","107","17","363"
"BRONX","12","797","445","2","100","22","305"
"BROOKLYN","1","1697","834","2","229","71","484"
"BROOKLYN","2","1620","782","2","162","70","511"
"BROOKLYN","3","1914","964","5","216","115","584"
"BROOKLYN","4","1839","965","3","187","118","610"
"BROOKLYN","5","2087","1118","5","213","136","683"
"BROOKLYN","6","1942","1068","5","172","128","682"
"BROOKLYN","7","2005","1202","5","166","151","782"
"BROOKLYN","8","1934","1104","3","158","156","698"
"BROOKLYN","9","2056","1127","5","205","156","680"
"BROOKLYN","10","2085","1173","4","241","157","697"
"BROOKLYN","11","1801","1036","7","216","138","626"
"BROOKLYN","12","1910","1003","3","220","97","645"
"MANHATTAN","1","857","345","1","107","48","170"
"MANHATTAN","2","723","304","1","85","60","143"
"MANHATTAN","3","1006","413","2","110","99","177"
"MANHATTAN","4","931","394","2","96","97","187"
"MANHATTAN","5","1118","554","0","106","136","285"
"MANHATTAN","6","1093","571","4","125","121","288"
"MANHATTAN","7","970","535","3","104","106","299"
"MANHATTAN","8","1025","538","1","127","130","254"
"MANHATTAN","9","1026","494","4","125","128","207"
"MANHATTAN","10","1138","579","4","154","126","278"
"MANHATTAN","11","965","444","3","128","101","195"
"MANHATTAN","12","971","442","3","124","100","203"
"QUEENS","1","1357","657","3","173","37","420"
"QUEENS","2","1284","615","3","136","34","425"
"QUEENS","3","1453","716","1","151","43","494"
"QUEENS","4","1335","734","4","110","54","541"
"QUEENS","5","1649","854","2","143","88","576"
"QUEENS","6","1456","770","4","107","65","560"
"QUEENS","7","1523","865","6","130","79","613"
"QUEENS","8","1453","823","4","99","77","594"
"QUEENS","9","1520","838","3","148","82","574"
"QUEENS","10","1628","955","6","193","77","633"
"QUEENS","11","1557","832","5","211","51","536"
"QUEENS","12","1571","859","5","212","45","566"
"STATEN ISLAND","1","201","83","1","17","3","63"
"STATEN ISLAND","2","161","63","0","14","3","45"
"STATEN ISLAND","3","215","111","1","24","1","86"
"STATEN ISLAND","4","207","101","1","12","5","83"
"STATEN ISLAND","5","242","119","0","16","7","92"
"STATEN ISLAND","6","248","121","0","14","5","100"
"STATEN ISLAND","7","227","126","0","16","7","102"
"STATEN ISLAND","8","218","109","1","12","7","89"
"STATEN ISLAND","9","240","126","1","26","4","92"
"STATEN ISLAND","10","259","115","0","15","4","93"
"STATEN ISLAND","11","238","126","0","24","3","95"
"STATEN ISLAND","12","268","166","0","32","1","132"
