term,coef,exp_coef,p_value,component
inflate_const,-14.754618956155417,3.9097627515481026e-07,0.7820720038046092,zero_inflation
inflate_rural,1.0343411566273826,2.8132521323863924,0.9923442878512491,zero_inflation
inflate_darkness,-2.398251900598014,0.0908766759804083,0.9956102256999354,zero_inflation
inflate_junction_present,-6.404426475777932,0.001654218684176303,0.9949720543518419,zero_inflation
const,1.7611419671249506,5.819078798233501,6.826519749559481e-247,count
speed_limit,-0.03711122459852426,0.9635689568183469,3.318183124166741e-148,count
rural,-0.350233599627156,0.7045234940691836,1.2339300665551138e-20,count
darkness,-0.13837757879831883,0.8707698454351561,9.981126102501753e-08,count
adverse_weather,-0.06713323846296029,0.9350706056662348,0.08441508385991883,count
wet_or_icy,-0.090378247347371,0.9135855585950272,0.007232729567376194,count
junction_present,0.08458426116278778,1.0882645388042644,0.00020984089727038067,count
weekend,-0.13573184417768752,0.8730767217073745,5.526050408891066e-07,count
number_of_vehicles,-0.9501088361824808,0.3866989343283512,0.0,count
