region,model,MAE,RMSE,horizon
center,historical_mean,4.563665674603193,6.3662951606981935,
center,VAR,1.3966424116820473,1.9099470934932687,
center,XGBoost,1.2647951816755627,1.6071334200227823,
center,historical_mean,4.516797235869663,6.20457286407081,
center,VAR,1.3572424159025624,1.869731629911951,
center,XGBoost,1.2466941458838328,1.589128566988432,
center,historical_mean,4.533270853673263,6.218634079876166,
center,VAR,1.398455036945297,1.8803487250548665,
center,XGBoost,1.2473121043235538,1.5904561742503371,
center,historical_mean,4.548004374396369,6.2103088825896835,
center,VAR,1.383414998664921,1.8688455930571852,
center,XGBoost,1.2961437582969666,1.6469583732159996,
center,historical_mean,4.45079709545856,6.032093818265902,
center,VAR,1.3873933144073327,1.9285497428266212,
center,XGBoost,1.2624937462428258,1.6166695769669701,
middle,historical_mean,4.6503569164934495,5.998743820602471,
middle,VAR,1.364064053404267,1.7964951722677012,
middle,XGBoost,1.2963367938995363,1.640254912397607,
middle,historical_mean,4.679461136306369,6.019916923562474,
middle,VAR,1.3037546102564896,1.7073416758731719,
middle,XGBoost,1.2345594186631461,1.5607352118671014,
middle,historical_mean,4.735382679306289,6.06488472128291,
middle,VAR,1.3497737703935297,1.785631331531515,
middle,XGBoost,1.2722010472464182,1.594902754341824,
middle,historical_mean,4.660424195719954,5.986563963403024,
middle,VAR,1.3378551156461238,1.7630804197409082,
middle,XGBoost,1.3134316429259285,1.6737814209274968,
middle,historical_mean,4.690257109788355,6.080346431530397,
middle,VAR,1.3407214790850777,1.7441824748312666,
middle,XGBoost,1.2443993586081044,1.561220529537351,
outer,historical_mean,4.501066468253958,5.356732570990974,
outer,VAR,1.1874429216191795,1.49955067380483,
outer,XGBoost,1.2057094872943939,1.5210075040916478,
outer,historical_mean,4.735465695730411,5.598489485907815,
outer,VAR,1.2973759951585075,1.6318321327193346,
outer,XGBoost,1.3140595799400694,1.6472250965783564,
outer,historical_mean,4.550864479665323,5.441719091944391,
outer,VAR,1.2062723843464234,1.5316772327010912,
outer,XGBoost,1.2592750129245578,1.588218464906076,
outer,historical_mean,4.388956207482965,5.267885344661903,
outer,VAR,1.2149877354421514,1.5402988040879528,
outer,XGBoost,1.249890516674708,1.5950830839472807,
outer,historical_mean,4.530929843001992,5.435282446941354,
outer,VAR,1.2538345939439488,1.5796946885710461,
outer,XGBoost,1.2831598327273415,1.6166777584279206,
center,historical_mean,4.582379997716674,5.885497973755232,5 min
center,VAR,1.031846569448831,1.2645204316898826,5 min
center,XGBoost,1.2660307751551299,1.603296856564479,5 min
middle,historical_mean,4.582379997716674,5.885497973755232,5 min
middle,VAR,1.031846569448831,1.2645204316898826,5 min
middle,XGBoost,1.2660307751551299,1.603296856564479,5 min
outer,historical_mean,4.582379997716674,5.885497973755232,5 min
outer,VAR,1.031846569448831,1.2645204316898826,5 min
outer,XGBoost,1.2660307751551299,1.603296856564479,5 min
center,historical_mean,4.582379997716674,5.885497973755232,15 min
center,VAR,1.3441395971951142,1.542641077198257,15 min
center,XGBoost,1.9791862813275058,2.5367159083794872,15 min
middle,historical_mean,4.582379997716674,5.885497973755232,15 min
middle,VAR,1.3441395971951142,1.542641077198257,15 min
middle,XGBoost,1.9791862813275058,2.5367159083794872,15 min
outer,historical_mean,4.582379997716674,5.885497973755232,15 min
outer,VAR,1.3441395971951142,1.542641077198257,15 min
outer,XGBoost,1.9791862813275058,2.5367159083794872,15 min
center,historical_mean,4.582379997716674,5.885497973755232,30 min
center,VAR,1.1668862166649991,1.482663640540558,30 min
center,XGBoost,2.616282986537075,3.459535847910462,30 min
middle,historical_mean,4.582379997716674,5.885497973755232,30 min
middle,VAR,1.1668862166649991,1.482663640540558,30 min
middle,XGBoost,2.616282986537075,3.459535847910462,30 min
outer,historical_mean,4.582379997716674,5.885497973755232,30 min
outer,VAR,1.1668862166649991,1.482663640540558,30 min
outer,XGBoost,2.616282986537075,3.459535847910462,30 min
center,historical_mean,4.582379997716674,5.885497973755232,60 min
center,VAR,1.8179456794295628,2.25821144561937,60 min
center,XGBoost,3.487746170929727,4.810556527508764,60 min
middle,historical_mean,4.582379997716674,5.885497973755232,60 min
middle,VAR,1.8179456794295628,2.25821144561937,60 min
middle,XGBoost,3.487746170929727,4.810556527508764,60 min
outer,historical_mean,4.582379997716674,5.885497973755232,60 min
outer,VAR,1.8179456794295628,2.25821144561937,60 min
outer,XGBoost,3.487746170929727,4.810556527508764,60 min
