node_i,node_j,lag_steps,lag_minutes,correlation
N01,N02,0,0,0.8875
N00,N01,0,0,0.8874
N01,N02,1,5,0.8794
N00,N01,1,5,0.8788
N03,N07,0,0,0.8715
N01,N02,2,10,0.8649
N00,N05,0,0,0.8648
N00,N01,2,10,0.8634
N03,N07,1,5,0.8623
N00,N05,1,5,0.8571
N03,N07,2,10,0.8488
N01,N02,3,15,0.844
N00,N05,2,10,0.8433
N00,N01,3,15,0.8413
N03,N07,3,15,0.8299
N00,N05,3,15,0.8259
N05,N10,0,0,0.8227
N01,N02,4,20,0.8195
N05,N10,1,5,0.8167
N00,N01,4,20,0.8152
N03,N07,4,20,0.8076
N05,N10,2,10,0.8071
N00,N05,4,20,0.8041
N05,N10,3,15,0.7944
N01,N02,5,25,0.79
N00,N01,5,25,0.7847
N03,N07,5,25,0.7815
N05,N10,4,20,0.7803
N00,N05,5,25,0.7778
N00,N10,0,0,0.7697
